timestamp,n2d_cpu_cores,c3d_cpu_cores
1780622803,0.014440095451388888,
1780622833,0.04054915217361111,
1780622863,0.06720188623611112,
1780622864,,0.01374076434333333
1780622893,0.08472348274305556,
1780622894,,0.03390243370805555
1780622923,0.08876356486805553,
1780622924,,0.049867826205555556
1780622953,0.07953609819444445,
1780622954,,0.061861200110277764
1780622983,0.06999584790972221,
1780622984,,0.059331403596666665
1780623013,0.06716179050694444,
1780623014,,0.05146070608722223
1780623043,0.06541649329166667,
1780623044,,0.046363957298611105
1780623073,0.06326737367361111,
1780623074,,0.04369972835722223
1780623103,0.06133337909722222,
1780623104,,0.04276935065750001
1780623133,0.058732632083333354,
1780623134,,0.04188531787444444
1780623163,0.058959253284722235,
1780623164,,0.04078192908055555
1780623193,0.05960795846527777,
1780623194,,0.04168701983833333
1780623223,0.06008891311805557,
1780623224,,0.04215108935972222
1780623253,0.058601362673611095,
1780623254,,0.04190199788916666
1780623283,0.05942474818055555,
1780623284,,0.04179209380055556
1780623313,0.05848421004166667,
1780623314,,0.04218874315444445
1780623343,0.05673479421527776,
1780623344,,0.04225194678583332
1780623373,0.058495752951388896,
1780623374,,0.04078495418972223
1780623403,0.054888529458333314,
1780623404,,0.04051712472166667
1780623433,0.051047197111111116,
1780623434,,0.039614318059444424
1780623463,0.050896373930555565,
1780623464,,0.03805262651111112
1780623493,0.050521018138888873,
1780623494,,0.038128293019722224
1780623523,0.050984540486111084,
1780623524,,0.03848921047027777
1780623553,0.05594281823611109,
1780623554,,0.03884346446916667
1780623583,0.05583996970833333,
1780623584,,0.03849194764944444
1780623613,0.056328679555555566,
1780623614,,0.03706128487222221
1780623643,0.05722427966666669,
1780623644,,0.036017647909444436
1780623673,0.05748605422916665,
1780623674,,0.03532552277138889
1780623703,0.05647915833333332,
1780623704,,0.035072933333333334
